image,predicted_labels
../data/temp/archive\person_-1_004965_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, carryingNothing, lowerBodyTrousers"
../data/temp/archive\person_102_007692_1.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, hairShort, hairBlack, upperBodyWhite"
../data/temp/archive\person_105_007905_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, upperBodyBlue"
../data/temp/archive\person_10_000596_1.jpg,"lowerBodyCasual, upperBodyCasual, lowerBodyJeans, upperBodyLongSleeve, lowerBodyBlue, upperBodyWhite"
../data/temp/archive\person_14_000802_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, hairShort, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/temp/archive\person_16_000808_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, hairShort, upperBodyShortSleeve, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/temp/archive\person_17_000775_0.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, carryingNothing"
../data/temp/archive\person_17_000812_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, hairShort, lowerBodyTrousers, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/temp/archive\person_18_000781_0.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, lowerBodyTrousers"
../data/temp/archive\person_18_000820_1.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, accessoryNothing, carryingNothing, hairShort, footwearBlack, hairBlack, upperBodyBlack"
../data/temp/archive\person_19_000828_1.jpg,"carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, lowerBodyTrousers, upperBodyGrey"
../data/temp/archive\person_1_000179_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, lowerBodyJeans, hairLong, upperBodyLongSleeve, hairBlack, upperBodyBlack"
../data/temp/archive\person_2_000094_0.jpg,"lowerBodyCasual, upperBodyCasual, carryingNothing, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/temp/archive\person_2_000191_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, hairBlack, upperBodyBlack"
../data/temp/archive\person_40_002170_1.jpg,"lowerBodyCasual, upperBodyCasual, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, hairBlack, upperBodyGreen"
../data/temp/archive\person_42_002215_1.jpg,"lowerBodyCasual, upperBodyCasual, accessoryNothing, carryingNothing, hairShort, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyGreen"
../data/temp/archive\person_4_000221_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, hairBlack, upperBodyBlack"
../data/temp/archive\person_57_001737_0.jpg,"lowerBodyCasual, upperBodyCasual, personalMale, carryingNothing, hairShort, upperBodyShortSleeve, lowerBodyBlack, upperBodyBlack"
../data/temp/archive\person_5_000224_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, upperBodyLongSleeve, lowerBodyTrousers, hairBlack, upperBodyBlack"
../data/temp/archive\person_62_004093_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, hairShort, lowerBodyTrousers, upperBodyGrey"
../data/temp/archive\person_66_004292_1.jpg,"personalLess30, carryingBackpack, lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, lowerBodyTrousers, hairBlack"
../data/temp/archive\person_6_000109_0.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, accessoryNothing, carryingNothing, upperBodyShortSleeve, upperBodyTshirt, hairBlack, lowerBodyBlack, upperBodyBlack"
../data/temp/archive\person_72_004966_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, carryingNothing, lowerBodyTrousers"
../data/temp/archive\person_72_005079_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, carryingNothing, hairShort, lowerBodyTrousers, hairBlack"
../data/temp/archive\person_73_002840_0.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, personalMale, accessoryNothing, carryingNothing, lowerBodyTrousers, upperBodyBlack"
../data/temp/archive\person_73_004974_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, accessoryNothing, carryingNothing, lowerBodyTrousers"
../data/temp/archive\person_74_004983_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, hairLong, accessoryNothing, lowerBodyGrey"
../data/temp/archive\person_74_005082_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, carryingNothing, hairShort, lowerBodyTrousers, hairBlack"
../data/temp/archive\person_77_005048_1.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, hairBlack"
../data/temp/archive\person_79_005062_1.jpg,"lowerBodyCasual, upperBodyCasual, personalFemale, upperBodyLongSleeve, accessoryNothing, carryingNothing, lowerBodyTrousers, hairBlack, upperBodyPink"
../data/temp/archive\person_93_003692_0.jpg,"personalLess30, lowerBodyCasual, upperBodyCasual, personalFemale, footwearWhite, hairBlack, upperBodyWhite"
../data/temp/archive\person_9_000205_0.jpg,"lowerBodyCasual, upperBodyCasual, upperBodyLongSleeve, accessoryNothing, carryingNothing, footwearWhite, lowerBodyBlack, upperBodyBlack"
../data/temp/archive\person_9_000586_1.jpg,"lowerBodyCasual, upperBodyCasual, lowerBodyJeans, upperBodyLongSleeve, lowerBodyBlue"
